2026-09-15T08:56:15.150169100Z | inspection_cycle | cam=6 frame=6 product=bench-lan7 | capture=0.276s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.276s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:56:15.154167800Z | inspection_cycle | cam=9 frame=6 product=bench-lan10 | capture=0.282s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.282s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:56:15.163133900Z | inspection_cycle | cam=5 frame=6 product=bench-lan6 | capture=0.291s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.291s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:56:15.171113100Z | inspection_cycle | cam=1 frame=6 product=bench-lan2 | capture=0.299s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.299s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:56:25.147933500Z | inspection_cycle | cam=3 frame=7 product=bench-lan4 | capture=0.238s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.238s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:56:25.162894Z | inspection_cycle | cam=7 frame=7 product=bench-lan8 | capture=0.251s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.251s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:56:25.171991300Z | inspection_cycle | cam=0 frame=7 product=bench-lan1 | capture=0.260s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.260s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:56:25.190208200Z | inspection_cycle | cam=6 frame=7 product=bench-lan7 | capture=0.279s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.279s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:56:25.191205900Z | inspection_cycle | cam=1 frame=7 product=bench-lan2 | capture=0.280s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.280s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:56:25.199291100Z | inspection_cycle | cam=9 frame=7 product=bench-lan10 | capture=0.289s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.289s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
